date,track,level,wpm,accuracy,words,time_sec
2025-12-15 21:14:03,beginner,1_fingers,6.8,100.0,5,21.1
2025-12-15 21:25:30,advanced,1_drills,0.0,0.0,0,0.0
2025-12-15 21:26:04,beginner,1_fingers,11.0,83.3,6,13.1
2025-12-15 21:29:01,beginner,1_fingers,15.7,96.7,5,8.4
2025-12-16 22:38:48,advanced,1_drills,0.0,0.0,0,0.0
2025-12-16 22:39:19,beginner,1_fingers,13.6,100.0,5,10.6
2025-12-16 22:43:37,beginner,1_fingers,33.6,100.0,5,47.1
2025-12-17 21:11:59,beginner,1_fingers,35.9,14.7,13,16.7
2025-12-22 16:20:01,beginner,1_fingers,20.8,80.6,7,85.2
2025-12-22 21:21:45,beginner,1_fingers,29.0,80.3,7,60.4
2025-12-22 21:21:45,beginner,1_fingers,29.0,80.3,7,60.4
2025-12-22 21:53:02,beginner,1_fingers,25.8,6.8,17,13.5
2025-12-22 21:53:02,beginner,1_fingers,25.7,6.8,17,13.5
2025-12-23 22:52:21,beginner,1_fingers,20.6,74.5,8,94.5
2025-12-23 22:52:21,beginner,1_fingers,20.6,74.5,8,94.5
2025-12-23 23:00:59,advanced,1_drills,11.5,96.3,3,27.0
2025-12-23 23:00:59,advanced,1_drills,11.5,96.3,3,27.0
2025-12-23 23:05:22,beginner,1_fingers,13.5,67.9,11,172.5
2025-12-23 23:05:22,beginner,1_fingers,13.5,67.9,11,172.5
2025-12-24 22:24:53,beginner,1_fingers,21.1,93.1,5,69.5
2025-12-24 22:24:53,beginner,1_fingers,21.1,93.1,5,69.5
2025-12-25 11:45:39,advanced,1_drills,0.0,0.0,0,0.0
2025-12-25 11:45:39,advanced,1_drills,0.0,0.0,0,0.0
